title,authors,date,archival date,editors,subject,publisher,identifier,format original,format,filename,Source,type,findingaid,digital collection,language,rights,rightsstatement,full text,objectid,display_template,object_location,image_small,image_thumb
"Buddhist Peace Fellowship Newsletter, vol. 1, no. 1, March 1979","Foster, Nelson; Victoria, Daizen; Snyder, Gary; Aitken, Robert",1979-03,March 1979,,Buddhism; newsletters; peace,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v01_n01,newsletter,application/pdf,turningwheel-v01_n01.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf001,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v01_n01.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v01_n01_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v01_n01_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 1, no. 2, July 1979","Foster, Nelson; Victoria, Daizen; Snyder, Gary; Aitken, Robert",1979-07,July 1979,,Buddhism; newsletters; peace; Zen (Japanese Buddhism),"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v01_n02,newsletter,application/pdf,turningwheel-v01_n02.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf002,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v01_n02.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v01_n02_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v01_n02_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 2, no. 1, May 1980","Bloom, Alfred; Cook, Francis Dojun; Clark, Robert W.; Roche, Michael",1980-05,May 1980,,Buddhism; newsletters; dharma; peace,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v02_n01,newsletter,application/pdf,turningwheel-v02_n01.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf003,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v02_n01.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v02_n01_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v02_n01_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 2, no. 2, December 1980","Roche, Michael",1980-12,December 1980,,Buddhism; newsletters; nonviolence; nuclear bombs; peace,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v02_n02,newsletter,application/pdf,turningwheel-v02_n02.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf004,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v02_n02.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v02_n02_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v02_n02_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 3, no. 1, April 1981",,1981-04,April 1981,"Eppsteiner, Fred",Buddhism; newsletters; prisons (institutions),"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v03_n01,newsletter,application/pdf,turningwheel-v03_n01.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf005,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v03_n01.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v03_n01_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v03_n01_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 3, no. 2, September 1981","Roche, Michael; Eppsteiner, Fred",1981-09,September 1981,"Eppsteiner, Fred",Buddhism; newsletters; peace; nuclear bombs,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v03_n02,newsletter,application/pdf,turningwheel-v03_n02.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf006,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v03_n02.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v03_n02_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v03_n02_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 4, no. 1, August 1982","Roche, Michael",1982-08,August 1982,,Buddhism; newsletters; dharma; prisons (institutions); health,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v04_n01,newsletter,application/pdf,turningwheel-v04_n01.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf007,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v04_n01.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v04_n01_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v04_n01_th.jpg
"Buddhist Peace Fellowship, vol. 5, no. 1, Jan 1983","Macy, Joanna",1983-01,January 1983,"Cooper, Andy; Hilsdale, Karin",Buddhism; newsletters; time; tax bills,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v05_n01,newsletter,application/pdf,turningwheel-v05_n01.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf008,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v05_n01.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v05_n01_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v05_n01_th.jpg
"Buddhist Peace Fellowship, vol. 5, no. 2, Summer 1983","Cooper, Andrew; McMahon, Patrick; Friedman, Lenore; Rosenkrantz, Loie",1983-07,July 1983,,Buddhism; newsletters; poetry,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v05_n02,newsletter,application/pdf,turningwheel-v05_n02.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf009,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v05_n02.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v05_n02_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v05_n02_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 6, no. 1, Jan 1984","Roche, Mike; McMahon, Patrick; Foster, Nelson; Zucker, Lauren",1984-01,January 1984,"Johnson, Kent",Buddhism; newsletters; executing; prisons (institutions),"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v06_n01,newsletter,application/pdf,turningwheel-v06_n01.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf010,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v06_n01.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v06_n01_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v06_n01_th.jpg
