location,latitude,longitude
"Headquarters, Idaho",46.631041,-115.808936
"Deer Creek, Idaho",46.609335,-115.78945
"Summit, Idaho",46.607996,-115.788621
"Revling, Idaho",46.594577,-115.78088
"Jaype, Idaho",46.575802,-115.810899
"Nelson, Idaho",46.51341,-115.816145
"Rooney, Idaho",46.496663,-115.83855
"Poorman, Idaho",46.507796,-115.886498
"Haley, Idaho",46.506302,-115.897523
"Rudo, Idaho",46.487395,-116.016362
"Cedar Canyon, Idaho",46.484257,-116.22497
"Konkolville, Idaho",46.483595,-116.209097
"Orofino, Idaho",46.478253,-116.255474
"Peyton, Washington",46.63108,-117.800796
"Central Ferry, Washington",46.631923,-117.816015
"Ridpath, Washington",46.591991,-117.897209
"Riparia, Washington",46.578398,-118.085022
"Gravel Spur, Idaho",46.614711,-115.801053
"Helphrey, Idaho",46.587103,-115.797767
"Quartz, Idaho",46.499728,-115.811635
"Placer, Idaho",46.497049,-115.916867
"Omill, Idaho",46.496115,-115.839583
"Lime Mountain, Idaho",46.495929,-115.989973
"Stites, Idaho",46.092284,-115.978906
"Kooskia, Idaho",46.140383,-115.982468
"Kamiah, Idaho",46.227256,-116.017875
"Tramway, Idaho",46.257117,-116.068303
"Pardee, Idaho",46.2989,-116.125521
"Chapin, Idaho",46.37235,-116.169241
"Greer, Idaho",46.3883,-116.175248
"Penoyer, Idaho",46.412584,-116.194281
"Jordan, Idaho",46.453386,-116.215263
"Ahsahka, Idaho",46.505177,-116.324629
"Magill, Idaho",46.500536,-116.372374
"Peck, Idaho",46.498452,-116.423373
"Lenore, Idaho",46.508179,-116.55159
"Agatha, Idaho",46.510971,-116.577259
"Dolomite, Idaho",46.527985,-116.630631
"Cheerylane, Idaho",46.51627,-116.681138
"Myrtle, Idaho",46.496542,-116.725723
"Arrow, Idaho",46.474893,-116.768533
"Spalding, Idaho",46.445032,-116.83338
"North Lapwai, Idaho",46.422243,-116.802947
"Forebay, Idaho",46.423446,-116.960329
"East Lewiston, Idaho",46.427212,-117.014048
"Lewiston, Idaho",46.416551,-117.000138
"Transfer, Idaho",46.429114,-117.021718
"Wilma, Washington",46.42252,-117.093975
"Alpowa, Washington",46.422488,-117.198351
"Moses, Washington",46.430946,-117.208641
"Indian, Washington",46.475887,-117.235159
"Bishop, Washington",46.569666,-117.282254
"Truax, Washington",46.58332,-117.330017
"Crum, Washington",46.604516,-117.359092
"Wawawai, Washington",46.635234,-117.378498
"Interior, Washington",46.681646,-117.445891
"Almota, Washington",46.702885,-117.468335
"Swift, Washington",46.682911,-117.622684
"Penawawa, Washington",46.705139,-117.686656
"Purrington, Washington",46.672959,-117.764861
"Flagpole, Washington",46.590393,-117.986503
"Schultz, Washington",46.681487,-117.534075
"Boyart, Washington",46.685153,-117.447589
"Fohl, Idaho",46.487777,-116.219218
"Cherrylane, Idaho",46.522735,-116.607474
"Cardiff, Idaho",46.575004,-115.812107
"Grangeville, Idaho",45.934096,-116.137951
"Fenn, Idaho",45.964118,-116.260015
"Cottonwood, Idaho",46.047622,-116.354907
"Rock Spur, Idaho",46.095872,-116.362238
"Sand Spur, Idaho",46.110858,-116.368414
"Ferdinand, Idaho",46.151646,-116.386362
"Craigmont, Idaho",46.236811,-116.465653
"Craig Junction, Idaho",46.273656,-116.533251
"Reubens, Idaho",46.323993,-116.54311
"Nucrag, Idaho",46.32999,-116.588853
"Culdesac, Idaho",46.373367,-116.672252
"Jacques, Idaho",46.370128,-116.724644
"Bundy, Idaho",46.358847,-116.787693
"Sweetwater, Idaho",46.373305,-116.795228
"Fort Lapwai, Idaho",46.394472,-116.798766
"Cow Creek, Idaho",46.497141,-115.936577
"Olson 2, Idaho",46.498114,-115.971721
"Olson 1, Idaho",46.498109,-115.967905
"David spur, Idaho",46.592817,-115.793489
"Kinney Junction, Idaho",46.590148,-115.795916
"Ferguson, Idaho",46.593037,-115.785231
"Joseph, Idaho",46.44689,-116.826109
"Lewiston JCT., Washington",46.57974,-118.089883
"Three Mile, Idaho",46.514364,-115.818181
"Ross, Idaho",46.499095,-115.989284
"Dry Gulch, Washington",46.593085,-117.913704
"Sears, Idaho",46.499,-115.910466
"Whiskey Spur, Idaho",46.486879,-116.198029
"Gurney, Idaho",46.425307,-116.95416
"Daisy, Washington",46.432163,-117.135299
"Big Cut, Idaho",46.62198,-115.805571
"Huffman, Idaho",46.549218,-115.834975
"Molloy, Idaho",46.50413,-115.87915
"Johnson, Idaho",46.500506,-115.908364
"Larson, Idaho",46.503635,-115.900174
"Vollmer, Idaho",46.255096,-116.513538
"David, Idaho",46.592614,-115.79398
"Steunenberg, Idaho",46.128933,-116.360408
"Caldwells, Idaho",46.359769,-116.758754
"Lapwai, Idaho",46.40713,-116.801535
"Clicks, Idaho",46.301655,-116.534963
"Durrant, Washington",46.696572,-117.457042
"Crampton, Washington",46.663334,-117.42295
"Penawawa Spur, Washington",46.706291,-117.687023
"Agnew, Idaho",46.086802,-116.352676
