title,description,creator,recipient,date,date-is-approximate?,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdm_url,cdmid,contentdm-file-name,contentdm-file-path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
"We Read an Amazing Story, Chapter 4 with Editors Corrections 2","Chapter 4 begins by expressing that many organized religions and reporters in national publications like Colliers and Time have misrepresented the message of Psychiana and Psychiana's doctrine. Chapter goes on to describe the origins of Psychiana and clarifies the nature of Christ, Psychiana's teachings, and God's Power here on earth. This draft of chapter includes editorial corrections in ink. Missing pages 140 - 150.","Robinson, Frank B.",,1946,yes,multiple-page; chapters,God-Power; Psychiana Criticism; Psychiana Origins; God on Earth,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 1",MG101_b5_f1_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/0,0,1.pdf,/psychiana/image/1.pdf,psychiana0,pdf,psychiana0.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana0.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana0_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana0_th.jpg,""
Out of this Chaos - What?,"Twelve page typescript, written by Robinson during World War II, opens with the statement that a new civilization will be the result of the chaos war has created, but soon Robinson returns to his themes of the similarities between religions and ends the typescript with a description of the beginning of Psychiana.","Robinson, Frank B.",,1943,yes,multiple-page; short stories,World War; Doctrine Parallels; Psychiana Origin; Psychiana Prophecies;,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 16",MG101_b5_f16_a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/1,1,10.pdf,/psychiana/image/10.pdf,psychiana1,pdf,psychiana1.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana1.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana1_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana1_th.jpg,""
The Evolution of Religion,"Typescript of an article on societal evolution in the face of what Robinson calls 'the threshold of the greatest spiritual awakening' in history. Robinson divides religion into exoteric and esoteric evolution, and discusses evolution in both categories.","Robinson, Frank B.",,1939-01-25,,multiple-page; typescripts,Origin of Religions; Sin; Sacrifice,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/2,2,100.pdf,/psychiana/image/100.pdf,psychiana2,pdf,psychiana2.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana2.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana2_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana2_th.jpg,""
Article and Response,"Typescript begins with an article from the Kansas City Star. Robinson follows this article with a response accusing the writer, a Methodist minister, of apologizing for his beliefs and 'poking fun at science.' Robinson asserts he would never apologize for his beliefs in Psychiana.","Robinson, Frank B.",,1939-02-01,,multiple-page; typescripts,Science and Technology; Methodists,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/3,3,101.pdf,/psychiana/image/101.pdf,psychiana3,pdf,psychiana3.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana3.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana3_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana3_th.jpg,""
Being Big,"Typescript of an article begins with an anecdote of a woman in Robinson's home who says she can't get into the Christmas Spirit. Robinson uses this as a platform to discuss that he would play his own hymns in his own home regardless of the nature of the holiday or his guests religious beliefs. He asserts, in his home, other beliefs are not true.","Robinson, Frank B.",,1939-02-08,,multiple-page; typescripts,Christmas; Freedom of Religion,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/4,4,102.pdf,/psychiana/image/102.pdf,psychiana4,pdf,psychiana4.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana4.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana4_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana4_th.jpg,""
The World Under God,"Typescript of an article begins with Robinson asking a question,'What will the world be like if the knowledge of the Spirit of God is universal?' Robinson discusses the impacts of war and equates the fight for beliefs to a religious war.","Robinson, Frank B.",,1939-02-15,,multiple-page; typescripts,World War II; Religious War; Spirit of God,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/5,5,103.pdf,/psychiana/image/103.pdf,psychiana5,pdf,psychiana5.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana5.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana5_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana5_th.jpg,""
The New Revelation of God,Typescript of an article on what Robinson claims happens to a member of Psychiana after they eliminate the fear of sin impressed upon them by orthodox religions and begin to realize the power of the Spirit of God in their own lives. Robinson uses testimonials from Psychiana Students.,"Robinson, Frank B.",,1939-03-01,,multiple-page; typescripts,Spirit of God; Sin; Wealth and Success,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/6,6,104.pdf,/psychiana/image/104.pdf,psychiana6,pdf,psychiana6.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana6.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana6_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana6_th.jpg,""
Making Us Free,Typescript of an article begins with a quote from a Christmas card wishing Robinson a successful 50 years ahead. This prompts Robinson to state that if the Spirit of God isn't revealed to everyone in 10 years he will be disappointed. Robinson also discusses a plan to organize all religious leaders to talk.,"Robinson, Frank B.",,1939-03-08,,multiple-page; typescripts,Religious Leadership; Psychiana Growth,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/7,7,105.pdf,/psychiana/image/105.pdf,psychiana7,pdf,psychiana7.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana7.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana7_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana7_th.jpg,""
1938 National Convention Speech - Lecture 3,"One of four lectures delivered at the 1938 National Convention. In lecture three Robinson promises to provide examples of the Power of the Spirit of God manifested in every living thing. He uses several examples, including a flower that will not grow in sawdust but will grow in dirt because of a cosmic order that governs every living thing. Another example is plants that will grow in one climate and not another, among several other examples.","Robinson, Frank B.",,1938-10-04,,multiple-page; speeches,Spirit of God; God-Law; Examples of God-Law,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 38",MG101_b5_f38_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/8,8,106.pdf,/psychiana/image/106.pdf,psychiana8,pdf,psychiana8.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana8.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana8_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana8_th.jpg,""
1938 National Convention Speech - Lecture 4,"One of four lectures delivered at the 1938 National Convention. In lecture four, Tenney begins by affirming that he will continue to support Psychiana and hopes to see a younger crowd. Robinson takes over, refuting accusations that he is an atheist. Robinson elaborates on how he differs from other orthodox religions on creed and dogma, but they all agree on the existence of God.","Robinson, Frank B.",,1938-10-04,,multiple-page; speeches,Spirit of God; Psychiana Criticism,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 38",MG101_b5_f38_004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/9,9,107.pdf,/psychiana/image/107.pdf,psychiana9,pdf,psychiana9.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana9.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana9_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana9_th.jpg,""
