objectid,title,title_alt,date,creator,description,site,period_of_record,frequency,source,type,format,rights,rightsstatement,original_url,filename,display_template,object_location,image_small,image_thumb
ng_img_001,Site A control plot,,2015-08,,"Seedling groundcover layer at site A in August, 2015 control plot.",,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/IMG_2046.jpg,img_2046.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/img_2046.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/img_2046_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/img_2046_th.jpg
ng_img_002,Site A treatment plot,,2015-08,,"Seedling groundcover layer at site A in August, 2015 in a treatment plot that has received 30 kg N ha-1 yr-1 since 1994.",,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/IMG_2038.jpg,img_2038.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/img_2038.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/img_2038_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/img_2038_th.jpg
ng_img_003,Site A comparison,,2015-08,,"The seedling groundcover layer at site A in a control plot (left) and in an N addition plot (right) in August, 2015. The N addition plot has received 30 kg N ha-1 yr-1 since 1994.",,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/IMG_2045.jpg,img_2045.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/img_2045.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/img_2045_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/img_2045_th.jpg
ng_img_004,Global Change Institute,,2008,,Global Change Institute 2008 & Dr. Andy Burton,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/ABurton_Teachers1_Large.jpg,aburton_teachers1_large.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/aburton_teachers1_large.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/aburton_teachers1_large_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/aburton_teachers1_large_th.jpg
ng_img_005,Global Change Institute,,2008,,Global Change Institute 2008 & Dr. Andy Burton,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/ABurton_Teachers2_Large.jpg,aburton_teachers2_large.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/aburton_teachers2_large.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/aburton_teachers2_large_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/aburton_teachers2_large_th.jpg
ng_img_006,Control plot,,,,Control Plot Forest Floor at Site A,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Albt_Control_Plot_Forest_Floor.JPG,albt_control_plot_forest_floor.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/albt_control_plot_forest_floor.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/albt_control_plot_forest_floor_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/albt_control_plot_forest_floor_th.jpg
ng_img_007,Treatment plot,,,,Treatment Plot Forest Floor at Site A,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Albt_Treatment_Plot_ Forest_Floor.JPG,albt_treatment_plot_ forest_floor.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/albt_treatment_plot_ forest_floor.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/albt_treatment_plot_ forest_floor_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/albt_treatment_plot_ forest_floor_th.jpg
ng_img_008,Litter trap,,,,,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Gradient_LitterTrap1_Large.jpg,gradient_littertrap1_large.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/gradient_littertrap1_large.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/gradient_littertrap1_large_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/gradient_littertrap1_large_th.jpg
ng_img_009,Canopy tower,,,,Canopy Tower at Site B,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Tower Pics/_DSC9882.JPG,dsc9882.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/dsc9882.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/dsc9882_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/dsc9882_th.jpg
ng_img_010,Temperature Datalogger,,,,Dr. Andy Burton Downloading Air & Soil Temperature Data,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/ABurton_DataLogger_Large.jpg,aburton_datalogger_large.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/aburton_datalogger_large.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/aburton_datalogger_large_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/aburton_datalogger_large_th.jpg
ng_img_011,Climbing the Forest Canopy Tower at Site B,,,,"Dr. Alan Talhelm Climbing the Forest Canopy Tower at Site B, photosynthesis measurement.",,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Tower Pics/_DSC9496.JPG,dsc9496.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/dsc9496.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/dsc9496_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/dsc9496_th.jpg
ng_img_012,Measuring soil respiration,,,,Dr. Andy Burton Measuring Soil Respiration,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/ABurton_Soil_Respiration2_Large.jpg,aburton_soil_respiration2_large.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/aburton_soil_respiration2_large.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/aburton_soil_respiration2_large_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/aburton_soil_respiration2_large_th.jpg
ng_img_013,Measuring Photosynthesis,,,,Undergraduate Researcher Hazen Kazaks Measuring Photosynthesis,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/HKazaks_seedling_photosynthesis1.JPG,hkazaks_seedling_photosynthesis1.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/hkazaks_seedling_photosynthesis1.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/hkazaks_seedling_photosynthesis1_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/hkazaks_seedling_photosynthesis1_th.jpg
ng_img_014,Fall Forest Floor,,,,,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Fall_forest_floor.jpg,fall_forest_floor.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/fall_forest_floor.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/fall_forest_floor_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/fall_forest_floor_th.jpg
ng_img_015,Fall Forest Canopy at Site B,,,,,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/October_canopy_view2.JPG,october_canopy_view2.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/october_canopy_view2.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/october_canopy_view2_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/october_canopy_view2_th.jpg
